porosity,perm_contrast,oil_water_viscosity_ratio,injection_rate,breakthrough_pv,cumulative_oil_pv,terminal_watercut
0.293167,0.782684,6.635663,1.182513,18.866594,22.080000,1.000000
0.180104,0.600299,10.095487,1.264773,17.639529,22.080000,1.000000
0.194980,0.571894,7.894133,1.166123,19.131780,22.080000,1.000000
0.212520,0.844506,11.425910,1.070105,20.848426,22.080000,1.000000
0.318606,0.734686,4.974736,0.783445,28.476806,22.080000,1.000000
0.239716,0.815203,2.678373,1.306454,17.076754,22.080000,1.000000
0.310251,0.979399,6.185331,1.366409,16.327466,22.080000,1.000000
0.263344,0.151998,1.953810,0.824691,27.052562,22.080000,1.000000
0.257073,0.264148,6.058647,1.386373,16.092352,22.080000,1.000000
0.279973,0.426250,8.983730,1.082503,20.609638,22.080000,1.000000
0.257869,0.886005,2.649043,1.275407,17.492461,22.080000,1.000000
0.291657,0.885672,4.189965,0.824900,27.045694,22.080000,1.000000
0.280641,0.857997,6.110309,0.735651,30.326879,22.080000,1.000000
0.306041,0.982388,9.217516,0.618209,36.088147,22.080000,1.000000
0.234731,0.449880,7.070642,1.389921,16.051275,22.080000,1.000000
0.162904,0.486896,5.788709,0.983361,22.687499,22.080000,1.000000
0.234559,0.849746,8.140779,0.842617,26.477027,22.080000,1.000000
0.192522,0.066374,10.052497,0.635787,35.090351,22.080000,1.000000
0.245716,0.638626,6.503319,1.271311,17.548807,22.080000,1.000000
0.319586,0.652488,7.872606,1.144914,19.486173,22.080000,1.000000
0.249040,0.235129,8.408480,1.315510,16.959204,22.080000,1.000000
0.300937,0.581544,8.824588,1.099001,20.300258,22.080000,1.000000
0.234500,0.266743,11.450492,0.611665,36.474184,22.080000,1.000000
0.248636,0.227921,8.729024,1.158383,19.259604,22.080000,1.000000
0.259724,0.671711,4.444264,0.551598,40.446125,22.080000,1.000000
0.219821,0.860105,5.543678,1.061280,21.021777,22.080000,1.000000
0.303987,0.614284,11.804163,1.353737,16.480304,22.080000,1.000000
0.203436,0.364159,2.357640,0.826231,27.002136,22.080000,1.000000
0.209338,0.887606,11.682664,1.050793,21.231594,22.080000,1.000000
0.204293,0.416324,4.276129,1.198617,18.613125,22.080000,1.000000
0.286743,0.067765,6.925380,0.828653,26.923203,22.080000,1.000000
0.245520,0.416061,1.582251,1.066840,20.912226,22.080000,1.000000
0.297205,0.837059,3.655972,1.173763,19.007241,22.080000,1.000000
0.241670,0.061526,6.804827,0.634206,35.177823,22.080000,1.000000
0.219128,0.814176,8.898367,0.985372,22.641201,22.080000,1.000000
0.313750,0.116018,6.486511,1.368746,16.299592,22.080000,1.000000
0.198751,0.961144,4.884137,0.970295,22.992997,22.080000,1.000000
0.242654,0.713064,3.073952,1.445431,15.434844,22.080000,1.000000
0.293517,0.578862,1.535034,0.671274,33.235308,22.080000,1.000000
0.180809,0.829781,4.288774,1.010333,22.081826,22.080000,1.000000
0.172756,0.982625,4.822033,1.362062,16.379576,22.080000,1.000000
0.307037,0.674780,11.663224,1.087758,20.510070,22.080000,1.000000
0.296505,0.231367,5.864785,1.007612,22.141462,22.080000,1.000000
0.301339,0.435882,9.403095,1.376848,16.203681,22.080000,1.000000
0.169156,0.906208,7.506495,1.324224,16.847604,22.080000,1.000000
0.200024,0.180998,2.750566,1.215714,18.351348,22.080000,1.000000
0.171232,0.674866,10.441603,0.713371,31.274051,22.080000,1.000000
0.184445,0.421703,11.160096,1.012015,22.045122,22.080000,1.000000
0.174532,0.389123,4.796299,0.696856,32.015220,22.080000,1.000000
0.247040,0.707612,2.094269,1.045097,21.347304,22.080000,1.000000
0.309028,0.397630,5.953155,1.213054,18.391603,22.080000,1.000000
0.249157,0.133574,6.889123,1.054064,21.165706,22.080000,1.000000
0.283583,0.740760,10.377058,1.127463,19.787781,22.080000,1.000000
0.300443,0.399049,3.546479,0.798067,27.955039,22.080000,1.000000
0.285853,0.322786,9.427844,1.292212,17.264970,22.080000,1.000000
0.234794,0.636118,9.319161,1.437449,15.520555,22.080000,1.000000
0.291389,0.708972,5.193561,0.880231,25.345634,22.080000,1.000000
0.223358,0.453906,10.957823,0.899195,24.811072,22.080000,1.000000
0.207018,0.137942,3.016019,0.853431,26.141525,22.080000,1.000000
0.222399,0.830750,6.866911,0.586427,38.043948,22.080000,1.000000
0.284337,0.681368,10.448107,0.552502,40.379922,22.080000,1.000000
0.232643,0.137839,8.645992,1.017516,21.925939,22.080000,1.000000
0.223779,0.772548,7.853492,1.072543,20.801022,22.080000,1.000000
0.306126,0.895733,2.233454,1.387437,16.080012,22.080000,1.000000
0.246508,0.124272,7.902266,1.076545,20.723700,22.080000,1.000000
0.284117,0.910430,10.691997,1.098650,20.306735,22.080000,1.000000
0.302871,0.553859,4.755036,0.906281,24.617090,22.080000,1.000000
0.232784,0.294327,4.835585,0.835437,26.704589,22.080000,1.000000
0.236940,0.232593,7.945375,0.639042,34.911608,22.080000,1.000000
0.258418,0.616588,10.691923,1.339960,16.649748,22.080000,1.000000
0.234855,0.749175,4.278182,0.902617,24.717016,22.080000,1.000000
0.235062,0.844801,10.282574,0.726156,30.723430,22.080000,1.000000
0.306908,0.773198,4.392682,1.308833,17.045716,22.080000,1.000000
0.312852,0.337906,10.398036,0.950421,23.473816,22.080000,1.000000
0.305635,0.277582,10.061307,0.604674,36.895895,22.080000,1.000000
0.162803,0.883190,10.251900,1.418979,15.722575,22.080000,1.000000
0.231940,0.955260,4.818011,0.684283,32.603461,22.080000,1.000000
0.252082,0.722381,6.526010,1.053465,21.177734,22.080000,1.000000
0.237944,0.870165,3.882901,1.391768,16.029965,22.080000,1.000000
0.288437,0.908947,11.417654,1.080056,20.656334,22.080000,1.000000
0.302079,0.453479,6.485923,0.581393,38.373359,22.080000,1.000000
0.169400,0.501037,11.459701,0.612576,36.419959,22.080000,1.000000
0.310817,0.877646,7.151145,0.991600,22.498993,22.080000,1.000000
0.317563,0.731198,6.055175,1.380948,16.155568,22.080000,1.000000
0.187313,0.377111,6.240622,0.552462,40.382874,22.080000,1.000000
0.202166,0.336027,1.819698,0.642660,34.715104,22.080000,1.000000
0.201953,0.479369,1.538485,0.664520,33.573123,22.080000,1.000000
0.302587,0.935720,9.219905,1.444905,15.440462,22.080000,1.000000
0.294947,0.901620,4.552473,0.734981,30.354525,22.080000,1.000000
0.208105,0.745268,4.610559,1.386553,16.090264,22.080000,1.000000
0.315530,0.219296,7.673326,1.356076,16.451882,22.080000,1.000000
0.316348,0.589838,2.257817,1.212737,18.396405,22.080000,1.000000
0.311743,0.885058,7.818836,0.850890,26.219611,22.080000,1.000000
0.280609,0.829999,4.369245,1.008129,22.130114,22.080000,1.000000
0.291417,0.339191,7.445109,1.397119,15.968571,22.080000,1.000000
0.272782,0.472625,10.991773,0.621644,35.888716,22.080000,1.000000
0.188987,0.562873,2.430185,1.302714,17.125790,22.080000,1.000000
